Ref,Val,Package,PosX,PosY,Rot,Side
"C1","2u2","C_0805",85.090000,-93.257000,90.000000,top
"C2","2u2","C_0805",105.410000,-93.257000,90.000000,top
"C3","2u2","C_0805",111.125000,-93.257000,90.000000,top
"C4","2u2","C_0805",131.445000,-93.257000,90.000000,top
"C5","2u2","C_0805",157.480000,-93.257000,90.000000,top
"R1","EDO","R_0805",82.700000,-86.500000,180.000000,top
"R2","FPM","R_0805",82.700000,-84.500000,0.000000,top
"U1","4C4M4","SOP-24-26_300mil",121.285000,-89.662000,90.000000,top
"U2","4C4M4","SOP-24-26_300mil",95.250000,-89.662000,90.000000,top
"U3","4C4M1","SOP-20-26_300mil",147.320000,-89.662000,90.000000,top
