Ref,Val,Package,PosX,PosY,Rot,Side
"C1","2u2","C_0805",85.090000,-93.257000,270.000000,top
"C2","2u2","C_0805",105.410000,-93.257000,270.000000,top
"C3","2u2","C_0805",119.380000,-93.257000,270.000000,top
"C4","2u2","C_0805",139.700000,-93.257000,270.000000,top
"C5","2u2","C_0805",157.480000,-93.257000,90.000000,top
"C6","2u2","C_0805",145.800000,-93.250000,270.000000,top
"C7","2u2","C_0805",151.250000,-93.250000,270.000000,top
"C8","2u2","C_0805",154.700000,-88.400000,270.000000,top
"C9","22p","C_0805",146.800000,-88.400000,270.000000,top
"R1","EDO","R_0805",82.700000,-86.500000,180.000000,top
"R2","FPM","R_0805",82.700000,-84.500000,0.000000,top
"R3","100","R_0805",144.800000,-88.400000,270.000000,top
"R4","100","R_0805",142.200000,-88.400000,90.000000,top
"U1","4C4M4","SOJ-24-26_300mil",129.540000,-89.662000,90.000000,top
"U2","4C4M4","SOJ-24-26_300mil",95.250000,-89.662000,90.000000,top
"U3","74LVC1G04","SOT-353",148.250000,-93.250000,270.000000,top
"U4","74LVC1G74DC","NXP_TSSOP-8_3x3mm_P0.65mm",150.850000,-88.400000,0.000000,top
"U5","74LVC1G32","SOT-353",157.200000,-88.400000,270.000000,top
"U6","XC6206PxxxMR","SOT-23",154.350000,-93.250000,90.000000,top
